"filename", "language", "TOML", "YAML", "Python", "Markdown", "comment", "blank", "total"
"/home/cyvv/Repos/splanything/src/splanything/training/optimizer.py", "Python", 0, 0, 255, 0, 101, 62, 418
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/__init__.py", "Python", 0, 0, 12, 0, 14, 3, 29
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/base.py", "Python", 0, 0, 95, 0, 129, 31, 255
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/processors/__init__.py", "Python", 0, 0, 8, 0, 7, 3, 18
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/processors/flex.py", "Python", 0, 0, 20, 0, 8, 8, 36
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/processors/map_processor.py", "Python", 0, 0, 29, 0, 33, 6, 68
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/processors/reduction.py", "Python", 0, 0, 31, 0, 12, 9, 52
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/__init__.py", "Python", 0, 0, 23, 0, 15, 3, 41
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/bounds_filter.py", "Python", 0, 0, 56, 0, 46, 10, 112
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/grad_split.py", "Python", 0, 0, 44, 0, 12, 7, 63
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/iso_split.py", "Python", 0, 0, 14, 0, 32, 8, 54
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/map_filter.py", "Python", 0, 0, 23, 0, 38, 9, 70
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/map_split.py", "Python", 0, 0, 23, 0, 38, 9, 70
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/multi_rules.py", "Python", 0, 0, 84, 0, 36, 22, 142
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/primitive_ceiling.py", "Python", 0, 0, 65, 0, 68, 17, 150
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/primitive_floor.py", "Python", 0, 0, 65, 0, 69, 17, 151
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/threshold_filter.py", "Python", 0, 0, 34, 0, 13, 9, 56
"/home/cyvv/Repos/splanything/src/splanything/training/refinement/rules/threshold_grad_filter.py", "Python", 0, 0, 36, 0, 13, 10, 59
"/home/cyvv/Repos/splanything/src/splanything/training/regularizers/__init__.py", "Python", 0, 0, 5, 0, 1, 3, 9
"/home/cyvv/Repos/splanything/src/splanything/training/regularizers/attr_attractor.py", "Python", 0, 0, 87, 0, 101, 15, 203
"/home/cyvv/Repos/splanything/src/splanything/training/regularizers/attr_proximity.py", "Python", 0, 0, 24, 0, 33, 7, 64
"/home/cyvv/Repos/splanything/src/splanything/training/regularizers/attr_range.py", "Python", 0, 0, 32, 0, 40, 7, 79
"/home/cyvv/Repos/splanything/src/splanything/training/regularizers/base.py", "Python", 0, 0, 27, 0, 50, 8, 85
"/home/cyvv/Repos/splanything/src/splanything/training/sampler.py", "Python", 0, 0, 241, 0, 63, 20, 324
"/home/cyvv/Repos/splanything/src/splanything/training/stages.py", "Python", 0, 0, 16, 0, 0, 1, 17
"/home/cyvv/Repos/splanything/src/splanything/training/trainer.py", "Python", 0, 0, 242, 0, 119, 34, 395
"/home/cyvv/Repos/splanything/src/splanything/utils/__init__.py", "Python", 0, 0, 1, 0, 0, 1, 2
"/home/cyvv/Repos/splanything/src/splanything/utils/img.py", "Python", 0, 0, 521, 0, 293, 50, 864
"/home/cyvv/Repos/splanything/src/splanything/utils/math.py", "Python", 0, 0, 17, 0, 14, 6, 37
"/home/cyvv/Repos/splanything/tests/test_filter_split_optimizer_state.py", "Python", 0, 0, 232, 0, 76, 69, 377
"/home/cyvv/Repos/splanything/tests/test_masked_len.py", "Python", 0, 0, 116, 0, 41, 45, 202
"/home/cyvv/Repos/splanything/tests/test_multi_masked.py", "Python", 0, 0, 147, 0, 46, 32, 225
"/home/cyvv/Repos/splanything/tests/test_patch_roundtrip.py", "Python", 0, 0, 122, 0, 44, 41, 207
"/home/cyvv/Repos/splanything/tests/test_refinement_rules.py", "Python", 0, 0, 89, 0, 13, 33, 135
"/home/cyvv/Repos/splanything/tests/test_sampler_roundtrip.py", "Python", 0, 0, 108, 0, 52, 35, 195
"/home/cyvv/Repos/splanything/tests/test_trainer_log_handler.py", "Python", 0, 0, 256, 0, 55, 64, 375
"/home/cyvv/Repos/splanything/tests/test_uv_sample.py", "Python", 0, 0, 99, 0, 39, 40, 178
"Total", "-", 43, 23, 6905, 172, 2539, 1430, 11112
